,Restraunt,Ratings,Address,Cuisine
1,Madras Cafe,3.9,Lal Bangla,"Quick Bites,South Indian"
2,NH 91,3.7,IIT Kanpur,"Casual Dining,North Indian,Fast Food"
3,Shanti Niketan Sweets,3.8,Kidwai Nagar Market,"Dessert Parlor,Sweet Shop,Desserts"
4,Burger King,3.9,Kidwai Nagar,"Quick Bites,Burger,Fast Food,Beverages"
5,Murga Shurga Family Restaurant,4.1,Lajpat Nagar,"Quick Bites,Mughlai"
6,UP Fillers,3.5,Fazalganj,"Quick Bites,Fast Food,Tibetan"
7,Mash's Cakes & More,3.8,Swaroop Nagar,"Bakery,Bakery"
8,Frozen Junction,4.0,Swaroop Nagar,"Dessert Parlor,Ice Cream"
9,Chingari Family Restaurant,3.8,Parade,"Quick Bites,Chinese,Mughlai,North Indian"
10,Chocolaid,3.5,Tilak Nagar,"Bakery,Bakery,Desserts,Beverages"
11,Pizza Cave,3.6,Kakadeo,"Quick Bites,Italian,Fast Food,Pizza"
12,Juicebox,4.3,Saket Nagar,"Quick Bites,Beverages,Fast Food"
13,Shri Ram Anurag Restaurant,3.7,Swaroop Nagar,"Dhaba,Beverages,Chinese,North Indian"
14,Chacha Biryani,3.8,Keshavpuram,"Quick Bites,Biryani"
15,Avon Biryani,3.5,Ashok Nagar,"Quick Bites,Biryani,North Indian"
16,Agra Vala Sweets,4.1,Ashok Nagar,"Quick Bites,Sweet Shop,Street Food,Mithai"
17,Jo Hukum,4.1,Mall Road,"Casual Dining,Bar,North Indian,Chinese"
18,Anil Meat Wala,4.1,Nandlal Chawraha,"Quick Bites,Mughlai"
19,Baba Biryani,4.1,Kakadeo,"Quick Bites,Food Court,Mughlai,Hyderabadi"
20,Energy Store,4.8,Swaroop Nagar,"Quick Bites,North Indian"
21,The Chocolate Room,4.2,Swaroop Nagar,"Café,Dessert Parlor,Cafe,Desserts"
22,Meezzaah,3.6,Nandlal Chawraha,"Casual Dining,Cafe,Chinese,Italian,Pizza"
23,D-Cafe,4.2,Mall Road,"Café,Cafe,Asian,North Indian"
